brand,model,year,price,currency,pub_date,title,url
Fairline,Targa 30,2001,70000.0,GBP,2022-01-21,"£70,000 Yacht Tour : 2001 Fairline Targa 30",https://www.youtube.com/watch?v=3dbQ9xD58_M
Beneteau,GT38,2015,200000.0,GBP,2022-01-18,"£200,000 Yacht Tour : 2015 Beneteau GT38",https://www.youtube.com/watch?v=lKp-JTKfVGU
Contest,59CS Bentley Collaboration,2022,2100000.0,GBP,2022-01-16,£2.1 Million Yacht Tour : Contest 59CS Bentley Collaboration,https://www.youtube.com/watch?v=zoygKntyO8s
,,,,Not available,2021-12-24,AQUAHOLIC&#39;s Top Ten Yachts,https://www.youtube.com/watch?v=DJQKPWCSqDY
Azimut,S7,2021,2050000.0,GBP,2021-12-28,"£2,050,000 Yacht Tour : Azimut S7",https://www.youtube.com/watch?v=Qj-vVB19WNw
Fjord,44 Coupe,2022,1100000.0,EUR,2022-01-11,€1.1 Million Yacht Tour : Fjord 44 Coupe,https://www.youtube.com/watch?v=sUBS8cRU8Fg
Fairline,Targa 47GT,2008,300000.0,GBP,2022-01-14,"£300,000 Yacht Tour : 2008 Fairline Targa 47GT",https://www.youtube.com/watch?v=pqL9syLvrNY
Crownline,340CR,2021,165000.0,GBP,2021-12-21,"£165,000 Yacht Tour : Crownline 340CR",https://www.youtube.com/watch?v=Y3I_-kyqxs0
,,,,Not available,2021-12-31,AQUAHOLIC 2021 Round-up,https://www.youtube.com/watch?v=ZDzr0P4OqPM
,,,,Not available,2022-01-01,AQUAHOLIC New Year&#39;s Livestream,https://www.youtube.com/watch?v=Q1cF1MAYm9Q
Northman,1200,2021,250000.0,GBP,2021-11-02,"£250,000 Yacht Tour : Northman 1200",https://www.youtube.com/watch?v=dOaRi2EuuN0
Nordhavn,60,2010,1800000.0,USD,2019-07-12,$1.8M Yacht Tour : 2010 Nordhavn 60,https://www.youtube.com/watch?v=6R48uD_Brm0
Doral,315 Intrigue,2005,85000.0,GBP,2022-01-07,"£85,000 Yacht Tour : 2005 Doral 315 Intrigue",https://www.youtube.com/watch?v=qhwzzKqy1v4
Rodman,Muse 44,2022,520000.0,GBP,2022-01-04,"£520,000 Yacht Tour Rodman Muse 44",https://www.youtube.com/watch?v=25uyZ1vbSYE
Absolute,48 Coupe,2021,770000.0,EUR,2021-12-17,"€770,000 Yacht Tour : Absolute 48 Coupe",https://www.youtube.com/watch?v=wV51nHSrVHo
Galeon,680,2020,1500000.0,EUR,2020-02-02,"€1,500,000 Yacht Tour : Galeon 680",https://www.youtube.com/watch?v=9f-jhwoAGXc
Sargo,36 Fly,2021,500000.0,GBP,2021-12-14,"£500,000 Yacht Tour : Sargo 36 Fly",https://www.youtube.com/watch?v=ru2OUCooz4Q
Swallow,Yachts Whisper 300,2021,169000.0,GBP,2021-12-10,"£169,000 Yacht Tour : Swallow Yachts Whisper 300",https://www.youtube.com/watch?v=DBioT61r8Xo
Fairline,Phantom 38,2002,167500.0,GBP,2021-12-07,"£167,500 Yacht Tour : 2002 Fairline Phantom 38",https://www.youtube.com/watch?v=cH6OxzpPcuU
Princess,S65,2017,1900000.0,GBP,2021-08-06,£1.9 Million Yacht Tour : 2017 Princess S65,https://www.youtube.com/watch?v=RGHKF8IdEzI
Seaward,29,2021,313000.0,GBP,2021-11-30,"£313,000 Yacht Tour : Seaward 29",https://www.youtube.com/watch?v=sWcjf9wrVEI
Sealine,C530,2021,1200000.0,GBP,2021-11-21,£1.2 Million Yacht Tour : Sealine C530,https://www.youtube.com/watch?v=5mktMrbhNB8
Doral,250SE,2003,47500.0,GBP,2021-11-16,"£47,500 Yacht Tour : 2003 Doral 250SE",https://www.youtube.com/watch?v=nl8JZru31kk
Windy,29 Coho,2014,140000.0,GBP,2021-11-09,"£140,000 Sea Trial : 2014 Windy 29 Coho",https://www.youtube.com/watch?v=xYGe6LBvtuw
Sargo,28,2021,260000.0,GBP,2021-10-26,"£260,000 Yacht Tour : Sargo 28",https://www.youtube.com/watch?v=nbn0vvPqtV0
Hardy,42 Hybrid,2021,800000.0,GBP,2021-10-08,"£800,000 Yacht Tour : Hardy 42 Hybrid",https://www.youtube.com/watch?v=2nW_Tib489o
